iter	RMSE
0	0.4048717474
1	0.3948526185
2	0.3853162073
3	0.3752985961
4	0.3655513927
5	0.3562951343
6	0.3484169549
7	0.3399333074
8	0.33189265
9	0.3242265344
10	0.3172483176
11	0.3106176458
12	0.3031298825
13	0.2962798742
14	0.2897614072
15	0.2830658447
16	0.2767154658
17	0.2711284587
18	0.2650701779
19	0.2598368811
20	0.2549277399
21	0.2499294062
22	0.2451678462
23	0.2406967561
24	0.2364395197
25	0.2317275466
26	0.2282946642
27	0.2249676032
28	0.2210310106
29	0.2178002602
30	0.2141700507
31	0.2108618186
32	0.2073645856
33	0.2042281977
34	0.2012130909
35	0.1985696224
36	0.195674493
37	0.1927566488
38	0.1900534036
39	0.1878802675
40	0.1854195784
41	0.1831910783
42	0.1807901846
43	0.1788148265
44	0.1766852892
45	0.1747954611
46	0.1726971584
47	0.1706883075
48	0.1687467322
49	0.1668944933
50	0.1651357715
51	0.1634704692
52	0.1617911932
53	0.1602204262
54	0.1585700286
55	0.1573668081
56	0.15581876
57	0.1545472142
58	0.1531992297
59	0.151927174
60	0.1504138406
61	0.1493329656
62	0.1481207018
63	0.147128689
64	0.145974401
65	0.1448286128
66	0.1438779692
67	0.1426399806
68	0.1414828267
69	0.1405413179
70	0.1397552555
71	0.1387460268
72	0.1377827064
73	0.1367993188
74	0.1359188608
75	0.1351618243
76	0.1343756696
77	0.1335348946
78	0.1329153196
79	0.1320798182
80	0.131218271
81	0.1306098724
82	0.1299846723
83	0.1292410511
84	0.1288254142
85	0.1282343552
86	0.1275511647
87	0.1266919039
88	0.1259087138
89	0.1252247524
90	0.1248566315
91	0.1242327994
92	0.123677943
93	0.123074091
94	0.1223633279
95	0.1217508539
96	0.1210946386
97	0.1206922426
98	0.1202616119
99	0.1198119823
100	0.1193111924
101	0.1190443032
102	0.1187308637
103	0.118306719
104	0.1178870544
105	0.1174795913
106	0.1171127502
107	0.1167825988
108	0.1162686301
109	0.1158926231
110	0.1155575072
111	0.1152578834
112	0.1149569606
113	0.1148204403
114	0.1144229574
115	0.1140485483
116	0.1137954202
117	0.113635148
118	0.1132898452
119	0.1128856657
120	0.1126745651
121	0.112334808
122	0.1120717826
123	0.1117228234
124	0.1115218567
125	0.1111897211
126	0.1109533647
127	0.1106331972
128	0.1105319563
129	0.1104567093
130	0.11010133
131	0.1097161867
132	0.1093021938
133	0.109038274
134	0.1088597395
135	0.108728902
136	0.1083473643
137	0.1082655834
138	0.1079264367
139	0.1076908562
140	0.1073118258
141	0.1070689131
142	0.1068949529
143	0.1066156258
144	0.1065313081
145	0.1061506654
146	0.105989436
147	0.1057578359
148	0.1056922451
149	0.1054580131
150	0.1051516029
151	0.1049668691
152	0.1046703073
153	0.1044407734
154	0.1041632861
155	0.1041246447
156	0.1039734871
157	0.1036593457
158	0.1034406863
159	0.1031946049
160	0.1029748134
161	0.1027205429
162	0.1025031
163	0.1023012367
164	0.1020678937
165	0.101818203
166	0.1017089814
167	0.1016646193
168	0.1013524477
169	0.1012100531
170	0.1011451563
171	0.1010757038
172	0.1009239326
173	0.1008315885
174	0.10062769
175	0.1003828663
176	0.1001499522
177	0.100069322
178	0.0998167477
179	0.09959646177
180	0.09929679726
181	0.09924553363
182	0.09896833127
183	0.09887858366
184	0.09882355537
185	0.09859885115
186	0.09840231228
187	0.09819481744
188	0.09811549155
189	0.09805331327
190	0.09801196057
191	0.09763803542
192	0.09738042872
193	0.0970858403
194	0.09689100569
195	0.09678924829
196	0.0967369294
197	0.0964435739
198	0.09617920863
199	0.09591941207
200	0.09586272131
201	0.09559830705
202	0.09551183576
203	0.09523662962
204	0.09499455185
205	0.09494636613
206	0.09484414201
207	0.09471108174
208	0.09463050271
209	0.0945425819
210	0.09430099524
211	0.09425779986
212	0.09420111308
213	0.09395529071
214	0.09372490991
215	0.09354695506
216	0.09328196825
217	0.09303886505
218	0.09297641877
219	0.09274249572
220	0.09268792562
221	0.09244300474
222	0.09240616459
223	0.09221979263
224	0.09200601234
225	0.09194910074
226	0.0918750251
227	0.09184030225
228	0.0916316581
229	0.09157643163
230	0.09137416683
231	0.09120974194
232	0.09105607909
233	0.09089248161
234	0.09084552808
235	0.09067952236
236	0.09041579743
237	0.09021989582
238	0.09003340892
239	0.08986648949
240	0.08969442984
241	0.08952429423
242	0.08930337576
243	0.08924202971
244	0.08917379846
245	0.08899338449
246	0.08895693413
247	0.08873338622
248	0.08853569233
249	0.08849383542
250	0.08828715916
251	0.08813698947
252	0.08810598799
253	0.08794667561
254	0.08791949306
255	0.08775477199
256	0.08759136268
257	0.0874541147
258	0.08726814829
259	0.08711703699
260	0.08694183752
261	0.08675849735
262	0.08670203981
263	0.08655791619
264	0.08643719707
265	0.08640915919
266	0.08638181896
