iter	Passed	Remaining
0	2	2985
1	5	2665
2	7	2542
3	9	2476
4	12	2444
5	14	2404
6	16	2375
7	19	2360
8	21	2341
9	23	2328
10	25	2284
11	27	2252
12	29	2219
13	31	2191
14	33	2170
15	34	2150
16	36	2133
17	38	2125
18	40	2109
19	42	2095
20	44	2080
21	46	2068
22	48	2057
23	50	2051
24	52	2062
25	54	2053
26	56	2042
27	58	2034
28	60	2026
29	62	2017
30	64	2013
31	66	2014
32	68	2013
33	70	2008
34	72	2002
35	74	2001
36	76	2002
37	78	1998
38	81	1998
39	83	2000
40	85	1995
41	87	1993
42	89	1988
43	91	1998
44	94	1997
45	96	2005
46	98	2002
47	100	1997
48	102	1995
49	105	1997
50	107	1998
51	109	1994
52	111	1993
53	113	1989
54	115	1986
55	117	1987
56	120	1985
57	122	1983
58	124	1982
59	126	1981
60	128	1980
61	131	1982
62	133	1978
63	135	1979
64	137	1976
65	139	1972
66	141	1967
67	143	1970
68	146	1980
69	149	1988
70	152	1994
71	154	1996
72	157	1999
73	159	1997
74	162	1998
75	164	1998
76	166	1997
77	169	2000
78	171	2000
79	173	1998
80	176	1998
81	178	1995
82	181	2003
83	183	2001
84	185	1998
85	187	1995
86	190	1995
87	192	1999
88	195	1997
89	197	1994
90	199	1991
91	201	1990
92	203	1989
93	206	1988
94	208	1986
95	210	1985
96	212	1981
97	216	1992
98	220	2005
99	222	2003
100	224	2001
101	227	2001
102	229	1998
103	232	1998
104	234	1997
105	236	1994
106	238	1990
107	240	1986
108	242	1983
109	245	1987
110	247	1986
111	250	1986
112	252	1985
113	255	1981
114	256	1976
115	259	1976
116	261	1976
117	263	1973
118	266	1969
119	267	1965
120	270	1965
121	272	1962
122	274	1958
123	276	1955
124	279	1955
125	281	1954
126	284	1955
127	286	1954
128	289	1952
129	290	1945
130	295	1957
131	297	1956
132	300	1958
133	302	1957
134	305	1957
135	308	1956
136	310	1958
137	313	1958
138	316	1958
139	318	1956
140	322	1964
141	324	1962
142	326	1957
143	328	1953
144	330	1947
145	332	1944
146	334	1941
147	336	1939
148	339	1937
149	341	1933
150	343	1930
151	345	1925
152	347	1922
153	349	1920
154	351	1916
155	353	1911
156	355	1908
157	357	1905
158	359	1903
159	362	1901
160	364	1899
161	366	1896
162	368	1893
163	370	1890
164	372	1887
165	375	1884
166	377	1880
167	379	1881
168	383	1885
169	385	1882
170	387	1878
171	389	1874
172	391	1870
173	393	1866
174	395	1862
175	397	1858
176	399	1855
177	401	1852
178	403	1848
179	405	1845
180	406	1841
181	409	1840
182	411	1836
183	413	1832
184	415	1828
185	417	1825
186	418	1821
187	420	1817
188	422	1815
189	424	1811
190	426	1807
191	428	1805
192	430	1801
193	432	1798
194	435	1796
195	437	1795
196	439	1792
197	442	1791
198	444	1789
199	446	1787
200	449	1784
201	451	1783
202	453	1781
203	456	1781
204	458	1778
205	460	1774
206	462	1771
207	466	1775
208	468	1772
209	470	1769
210	472	1765
211	474	1762
212	476	1758
213	477	1755
214	480	1752
215	482	1751
216	484	1747
217	486	1745
218	488	1742
219	490	1739
220	492	1735
221	494	1732
222	496	1728
223	498	1725
224	500	1722
225	501	1718
226	503	1715
227	506	1713
228	508	1711
229	511	1711
230	513	1709
231	516	1709
232	519	1708
233	521	1706
234	524	1705
235	526	1705
236	530	1706
237	532	1704
238	534	1702
239	536	1699
240	539	1699
241	542	1698
242	545	1698
243	549	1701
244	551	1699
245	554	1698
246	556	1696
247	558	1693
248	560	1690
249	563	1690
250	565	1688
251	568	1688
252	570	1685
253	573	1683
254	575	1682
255	578	1680
256	582	1684
257	585	1682
258	587	1681
259	590	1680
260	594	1682
261	596	1681
262	599	1680
263	602	1678
264	604	1677
265	608	1678
266	610	1677
267	613	1675
268	616	1674
269	618	1673
270	620	1670
271	623	1668
272	625	1666
273	627	1663
274	630	1662
275	633	1660
276	635	1658
277	637	1656
278	641	1658
279	644	1657
280	647	1656
281	650	1655
282	652	1653
283	654	1650
284	656	1647
285	658	1645
286	661	1643
287	666	1647
288	668	1643
289	670	1641
290	672	1638
291	674	1634
292	676	1631
293	678	1628
294	680	1625
295	682	1623
296	684	1621
297	686	1617
298	688	1614
299	690	1611
300	692	1608
301	694	1605
302	696	1602
303	698	1599
304	700	1596
305	702	1593
306	704	1590
307	706	1587
308	708	1584
309	711	1583
310	713	1580
311	715	1577
312	717	1574
313	719	1571
314	721	1569
315	723	1566
316	726	1564
317	728	1562
318	730	1560
319	732	1557
320	735	1554
321	737	1551
322	739	1549
323	741	1546
324	743	1544
325	745	1541
326	747	1539
327	749	1536
328	751	1533
329	755	1534
330	757	1530
331	759	1527
332	761	1525
333	763	1522
334	765	1519
335	767	1517
336	769	1514
337	771	1511
338	773	1508
339	775	1506
340	777	1503
341	779	1500
342	781	1496
343	783	1494
344	785	1491
345	787	1488
346	789	1486
347	791	1483
348	793	1480
349	795	1477
350	797	1474
351	799	1472
352	802	1470
353	804	1467
354	806	1464
355	808	1461
356	810	1459
357	812	1456
358	814	1453
359	816	1451
360	818	1448
361	820	1445
362	822	1442
363	824	1439
364	826	1437
365	828	1435
366	830	1432
367	832	1429
368	834	1426
369	836	1423
370	838	1420
371	840	1418
372	842	1415
373	844	1413
374	846	1410
375	848	1407
376	850	1404
377	852	1402
378	854	1399
379	856	1397
380	858	1394
381	860	1392
382	862	1389
383	864	1387
384	867	1385
385	869	1382
386	871	1380
387	873	1378
388	876	1375
389	878	1373
390	880	1371
391	882	1368
392	884	1365
393	886	1363
394	888	1360
395	890	1357
396	892	1355
397	894	1352
398	896	1349
399	898	1347
400	899	1344
401	901	1341
402	903	1338
403	905	1336
404	907	1333
405	909	1330
406	911	1327
407	913	1325
408	915	1322
409	917	1319
410	918	1316
411	920	1314
412	922	1311
413	924	1308
414	926	1305
415	928	1302
416	930	1300
417	931	1297
418	933	1294
419	935	1292
420	937	1289
421	939	1286
422	941	1284
423	943	1281
424	945	1278
425	947	1276
426	948	1273
427	950	1270
428	952	1267
429	954	1265
430	956	1262
431	958	1259
432	960	1257
433	961	1254
434	963	1251
435	965	1249
436	967	1246
437	969	1243
438	971	1241
439	973	1238
440	975	1236
441	976	1233
442	978	1230
443	980	1228
444	982	1225
445	984	1222
446	986	1220
447	988	1217
448	990	1214
449	991	1212
450	993	1209
451	995	1207
452	997	1204
453	999	1202
454	1001	1199
455	1003	1197
456	1006	1196
457	1008	1193
458	1011	1191
459	1013	1189
460	1015	1187
461	1017	1185
462	1019	1182
463	1022	1180
464	1024	1178
465	1026	1176
466	1028	1173
467	1030	1171
468	1032	1168
469	1034	1166
470	1036	1163
471	1037	1161
472	1039	1158
473	1041	1155
474	1043	1153
475	1045	1150
476	1047	1148
477	1049	1145
478	1050	1143
479	1052	1140
480	1054	1138
481	1056	1135
482	1059	1133
483	1061	1131
484	1064	1130
485	1066	1127
486	1068	1125
487	1070	1123
488	1072	1120
489	1074	1118
490	1076	1116
491	1079	1114
492	1080	1111
493	1082	1109
494	1084	1106
495	1086	1104
496	1088	1101
